Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0603_1608Metric",-144.462500,-94.932500,180.000000,bottom
"C4","22pF","C_0603_1608Metric",-147.637500,-110.490000,90.000000,bottom
"C5","22pF","C_0603_1608Metric",-141.351000,-110.501991,270.000000,bottom
"C6","1uF","C_0603_1608Metric",-155.321000,-101.219000,-0.000000,bottom
"F1","Polyfuse_Small","Fuse_1206_3216Metric",-144.462500,-92.646500,180.000000,bottom
"Q1","AO3401A","SOT-23",-132.016500,-103.949500,0.000000,bottom
"R1","5.1k","R_0603_1608Metric",-129.857500,-89.535000,90.000000,bottom
"R2","5.1k","R_0603_1608Metric",-128.143000,-89.535000,90.000000,bottom
"R3","22","R_0603_1608Metric",-155.321000,-102.806500,180.000000,bottom
"R4","22","R_0603_1608Metric",-155.321000,-104.394000,180.000000,bottom
"R5","10k","R_0603_1608Metric",-136.271000,-100.965000,-0.000000,bottom
"R6","10k","R_0603_1608Metric",-144.462500,-115.570000,90.000000,bottom
"R7","100r","R_0603_1608Metric",-136.271000,-102.616000,180.000000,bottom
"R8","10k","R_0603_1608Metric",-136.271000,-104.267000,-0.000000,bottom
"R9","1k","R_0603_1608Metric",-139.255500,-91.376500,90.000000,bottom
"R10","1k","R_0603_1608Metric",-157.162500,-92.011500,90.000000,bottom
"R11","1k","R_0603_1608Metric",-139.001500,-110.490000,90.000000,bottom
"R12","1k","R_0603_1608Metric",-158.115000,-110.363000,90.000000,bottom
"U1","ATmega32U2-AU","TQFP-32_7x7mm_P0.8mm",-144.462500,-102.552500,90.000000,bottom
"U2","SRV05-4","SOT-23-6",-159.776931,-88.625066,45.000000,bottom
"USB1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",-144.526000,-83.820000,0.000000,bottom
"X1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",-144.489702,-110.526490,180.000000,bottom
